systematic_id	colour
SPAC212.11	2
SPAC212.10	13
SPAC212.09c	13
SPAC212.08c	8
SPAC212.07c	13
SPAC212.12	8
SPAC212.06c	7
SPAC212.05c	13
SPAC212.04c	8
SPAC212.03	8
SPAC212.02	8
SPAC212.01c	8
SPAC977.01	10
SPAC977.18	10
SPAC977.02	10
SPAC977.03	10
SPAC977.04	7
SPAC977.05c	10
SPAC977.06	8
SPAC977.07c	2
SPAC977.08	7
SPAC977.09c	7
SPAC977.10	2
SPAC977.11	2
SPAC977.12	7
SPAC977.13c	13
SPAC977.14c	7
SPAC977.15	10
SPAC977.16c	2
SPAC977.17	7
SPAPJ695.02	8
SPAPJ695.01c	8
SPAC1F8.01	2
SPAC1F8.02c	2
SPAC1F8.03c	2
SPAC1F8.04c	10
SPAC1F8.05	2
SPAC1F8.06	2
SPAC1F8.07c	7
SPAC1F8.08	8
SPAC11D3.19	8
SPAC11D3.01c	10
SPAC11D3.02c	10
SPAC11D3.03c	10
SPAC11D3.04c	10
SPAC11D3.05	7
SPAC11D3.06	7
SPAC11D3.07c	7
SPAC11D3.08c	7
SPAC11D3.09	7
SPAC11D3.10	10
SPAC11D3.20	6
SPAC11D3.11c	7
SPAC11D3.13	10
SPAC11D3.14c	7
SPAC11D3.15	7
SPAC11D3.16c	12
SPAC11D3.17	7
SPAC11D3.18c	7
SPAC5H10.01	7
SPAC5H10.02c	2
SPAC5H10.03	10
SPAC5H10.04	7
SPAC5H10.05c	10
SPAC5H10.06c	2
SPAC5H10.07	8
SPAC5H10.08c	2
SPAC5H10.09c	7
SPAC5H10.10	7
SPAC5H10.11	7
SPAC5H10.12c	2
SPAC5H10.13c	2
SPAC13G6.01c	2
SPAC13G6.02c	2
SPAC13G6.03	7
SPAC13G6.04	7
SPAC13G6.05c	7
SPAC13G6.06c	7
SPAC13G6.07c	2
SPAC13G6.08	2
SPAC13G6.09	7
SPAC13G6.10c	2
SPAC13G6.11c	7
SPAC13G6.12c	2
SPAC13G6.13	6
SPAC13G6.14	2
SPAC13G6.15c	7
SPAC24B11.05	7
SPAC24B11.06c	2
SPAC24B11.07c	10
SPAC24B11.08c	7
SPAC24B11.09	7
SPAC24B11.10c	10
SPAC24B11.11c	2
SPAC24B11.12c	2
SPAC24B11.14	6
SPAC24B11.13	7
SPAC806.02c	7
SPAC806.03c	7
SPAC806.11	6
SPAC806.04c	7
SPAC806.05	7
SPAC806.06c	7
SPAC806.07	2
SPAC806.08c	2
SPAC1639.01c	2
SPAC1639.02c	2
SPAC1F5.11c	2
SPAC1F5.10	2
SPAC1F5.09c	2
SPAC1F5.08c	2
SPAC1F5.07c	7
SPAC1F5.06	7
SPAC1F5.05c	7
SPAC1F5.04c	2
SPAC1F5.03c	7
SPAC1F5.02	7
SPAC18B11.11	7
SPAC18B11.10	2
SPAC18B11.09c	7
SPAC18B11.08c	7
SPAC18B11.07c	2
SPAC18B11.06	7
SPAC18B11.05	7
SPAC18B11.04	2
SPAC18B11.03c	7
SPAC18B11.02c	7
SPAC12G12.16c	7
SPAC12G12.15	7
SPAC12G12.14c	2
SPAC12G12.13c	2
SPAC12G12.12	7
SPAC12G12.11c	10
SPAC12G12.10	2
SPAC12G12.09	10
SPAC12G12.17	7
SPAC12G12.08	7
SPAC12G12.07c	10
SPAC12G12.06c	7
SPAC12G12.05c	2
SPAC12G12.04	2
SPAC12G12.03	2
SPAC12G12.02	7
SPAC12G12.01c	2
SPAC630.03	2
SPAC630.04c	12
SPAC630.05	7
SPAC630.06c	10
SPAC630.07c	12
SPAC630.08c	7
SPAC630.15	8
SPAC630.09c	10
SPAC630.10	7
SPAC630.11	7
SPAC630.12	7
SPAC630.13c	2
SPAC630.14c	2
SPAC1751.01c	2
SPAC1751.04	7
SPAC1751.02c	7
SPAC1751.03	2
SPAC31A2.02	7
SPAC31A2.03	7
SPAC31A2.04c	2
SPAC31A2.05c	2
SPAC31A2.06	7
SPAC31A2.07c	7
SPAC31A2.08	7
SPAC31A2.09c	7
SPAC31A2.10	7
SPAC31A2.11c	2
SPAC31A2.12	7
SPAC31A2.13c	7
SPAC31A2.14	2
SPAC31A2.15c	2
SPAC31A2.16	2
SPAC13C5.01c	2
SPAC13C5.02	2
SPAC13C5.03	2
SPAC13C5.04	10
SPAC13C5.05c	7
SPAC13C5.06c	8
SPAC13C5.07	2
SPAC23E2.01	2
SPAC23E2.02	2
SPAC23E2.03c	2
SPAC24H6.13	7
SPAC24H6.12c	7
SPAC24H6.11c	7
SPAC24H6.10c	7
SPAC24H6.09	2
SPAC24H6.08	12
SPAC24H6.07	2
SPAC24H6.06	2
SPAC24H6.05	2
SPAC24H6.04	2
SPAC24H6.03	2
SPAC24H6.02c	7
SPAC24H6.01c	7
SPAPB21F2.02	7
SPAPB21F2.03	7
SPAC227.01c	2
SPAC227.19c	7
SPAC227.02c	7
SPAC227.03c	7
SPAC227.04	2
SPAC227.05	2
SPAC227.06	7
SPAC227.07c	2
SPAC227.08c	2
SPAC227.09	7
SPAC227.10	2
SPAC227.11c	7
SPAC227.12	2
SPAC227.13c	2
SPAC227.14	7
SPAC227.15	7
SPAC227.16c	2
SPAC227.17c	10
SPAC227.18	2
SPAC2F7.02c	7
SPAC2F7.03c	2
SPAC2F7.04	2
SPAC2F7.05c	7
SPAC2F7.06c	2
SPAC2F7.07c	2
SPAC2F7.08c	2
SPAC2F7.09c	7
SPAC2F7.10	7
SPAC2F7.11	2
SPAC2F7.13c	7
SPAC2F7.14c	2
SPAC2F7.15	7
SPAC2F7.16c	2
SPAC2F7.17	2
SPAC13A11.01c	2
SPAC13A11.02c	2
SPAC13A11.03	2
SPAC13A11.04c	2
SPAC13A11.05	2
SPAC13A11.06	7
SPAC3H8.02	7
SPAC3H8.03	7
SPAC3H8.04	10
SPAC3H8.05c	7
SPAC3H8.06	2
SPAC3H8.07c	2
SPAC3H8.08c	7
SPAC3H8.09c	7
SPAC3H8.10	2
SPAC1F3.01	2
SPAC1F3.02c	2
SPAC1F3.03	7
SPAC1F3.04c	7
SPAC1F3.05	2
SPAC1F3.06c	2
SPAC1F3.07c	2
SPAC1F3.08c	6
SPAC1F3.09	7
SPAC1F3.10c	7
SPAC1D4.01	2
SPAC1D4.02c	7
SPAC1D4.03c	7
SPAC1D4.04	2
SPAC1D4.05c	7
SPAC1D4.06c	2
SPAC1D4.08	2
SPAC1D4.09c	2
SPAC1D4.10	2
SPAC1D4.11c	2
SPAC1D4.12	2
SPAC1D4.13	2
SPAC1D4.14	7
SPAC22F3.13	2
SPAC22F3.12c	2
SPAC22F3.11c	2
SPAC22F3.10c	2
SPAC22F3.09c	2
SPAC22F3.08c	7
SPAC22F3.07c	7
SPAC22F3.15	7
SPAC22F3.06c	2
SPAC22F3.05c	2
SPAC22F3.04	7
SPAC22F3.03c	2
SPAC22F3.02	2
SPAC1296.01c	7
SPAC1296.02	2
SPAC1296.03c	2
SPAC1296.04	7
SPAC1296.05c	2
SPAC1296.06	7
SPAPJ696.01c	2
SPAPJ696.02	7
SPAC22G7.01c	7
SPAC22G7.02	2
SPAC22G7.03	12
SPAC22G7.04	7
SPAC22G7.05	7
SPAC22G7.06c	2
SPAC22G7.07c	7
SPAC22G7.08	10
SPAC22G7.09c	2
SPAC22G7.10	2
SPAC22G7.11c	10
SPAC4G8.02c	7
SPAC4G8.03c	7
SPAC4G8.04	7
SPAC4G8.05	2
SPAC4G8.06c	7
SPAC4G8.07c	7
SPAC4G8.08	7
SPAC4G8.09	7
SPAC4G8.10	7
SPAC4G8.11c	7
SPAC4G8.12c	7
SPAC4G8.13c	2
SPAC16C9.01c	10
SPAC16C9.02c	7
SPAC16C9.03	7
SPAC16C9.04c	2
SPAC16C9.05	2
SPAC16C9.06c	2
SPAC16C9.07	2
SPAC2G11.02	7
SPAC2G11.03c	2
SPAC2G11.04	7
SPAC2G11.05c	7
SPAC2G11.06	2
SPAC2G11.07c	2
SPAC2G11.08c	2
SPAC2G11.09	7
SPAC2G11.10c	7
SPAC2G11.11c	7
SPAC2G11.12	2
SPAC2G11.13	2
SPAC2G11.14	2
SPAC2G11.15c	2
SPAC521.02	7
SPAC521.03	10
SPAC521.04c	7
SPAC521.05	7
SPAC23G3.01	2
SPAC23G3.02c	2
SPAC23G3.03	2
SPAC23G3.04	2
SPAC23G3.05c	10
SPAC23G3.06	7
SPAC23G3.07c	2
SPAC23G3.08c	2
SPAC23G3.09	7
SPAC23G3.10c	2
SPAC23G3.11	2
SPAC23G3.12c	7
SPAC22H12.01c	12
SPAC22H12.02	2
SPAC22H12.03	7
SPAC22H12.04c	7
SPAC22H12.05c	2
SPAC1687.01	2
SPAC1687.02	7
SPAC1687.03c	2
SPAC1687.04	2
SPAC1687.05	2
SPAC1687.06c	7
SPAC1687.07	10
SPAC1687.08	8
SPAC1687.09	7
SPAC1687.10	2
SPAC1687.11	7
SPAC1687.12c	2
SPAC1687.13c	2
SPAC1687.14c	7
SPAC1687.23c	8
SPAC1687.15	2
SPAC1687.16c	2
SPAC1687.17c	7
SPAC1687.18c	2
SPAC1687.19c	2
SPAC1687.20c	2
SPAC1687.21	7
SPAC1687.22c	7
SPAC222.03c	7
SPAC222.19	2
SPAC222.04c	2
SPAC222.05c	7
SPAC222.06	7
SPAC222.07c	2
SPAC222.08c	7
SPAC222.09	2
SPAC222.10c	2
SPAC222.11	7
SPAC222.17	10
SPAC222.12c	2
SPAC222.13c	7
SPAC222.14c	2
SPAC222.15	2
SPAC222.18	7
SPAC222.16c	7
SPAC821.03c	2
SPAC821.04c	2
SPAC821.05	2
SPAC821.06	2
SPAC821.07c	2
SPAC821.08c	2
SPAC821.09	2
SPAC821.10c	2
SPAC821.11	2
SPAC821.12	2
SPAC821.13c	7
SPAC139.01c	2
SPAC139.02c	7
SPAC139.03	2
SPAC139.04c	2
SPAC139.05	7
SPAC139.06	2
SPAC23C4.02	2
SPAC23C4.03	2
SPAC23C4.04c	8
SPAC23C4.05c	2
SPAC23C4.06c	7
SPAC23C4.07	2
SPAC23C4.08	2
SPAC23C4.09c	10
SPAC23C4.10	2
SPAC23C4.11	7
SPAC23C4.12	2
SPAC23C4.13	7
SPAC23C4.14	7
SPAC23C4.15	2
SPAC23C4.16c	2
SPAC23C4.17	2
SPAC23C4.18c	2
SPAC23C4.19	2
SPAC1A6.01c	7
SPAC1A6.02	7
SPAC1A6.03c	7
SPAC1A6.11	6
SPAC1A6.04c	2
SPAC1A6.05c	2
SPAC1A6.06c	12
SPAC1A6.07	2
SPAC1A6.08c	12
SPAC1A6.09c	2
SPAC1A6.10	7
SPAC30D11.14c	7
SPAC30D11.13	2
SPAC30D11.12	7
SPAC30D11.11	7
SPAC30D11.10	2
SPAC30D11.09	2
SPAC30D11.08c	2
SPAC30D11.07	2
SPAC30D11.06c	7
SPAC30D11.05	7
SPAC30D11.04c	2
SPAC30D11.03	7
SPAC30D11.02c	8
SPAC30D11.01c	7
SPAC56F8.02	7
SPAC56F8.03	7
SPAC56F8.04c	2
SPAC56F8.05c	7
SPAC56F8.06c	2
SPAC56F8.07	7
SPAC56F8.08	2
SPAC56F8.09	2
SPAC56F8.10	2
SPAC56F8.11	7
SPAC56F8.12	10
SPAC56F8.13	6
SPAC56F8.14c	8
SPAC56F8.15	8
SPAC56F8.16	2
SPAC22A12.01c	2
SPAC22A12.02c	12
SPAC22A12.03c	2
SPAC22A12.04c	7
SPAC22A12.05	2
SPAC22A12.06c	10
SPAC22A12.07c	2
SPAC22A12.08c.1	2
SPAC22A12.09c	2
SPAC22A12.10	7
SPAC22A12.11	2
SPAC22A12.12c	2
SPAC22A12.13	7
SPAC22A12.14c	10
SPAC22A12.15c	2
SPAC22A12.16	7
SPAC22A12.17c	10
SPAC4C5.01	7
SPAC4C5.02c	2
SPAC4C5.03	10
SPAC4C5.04	2
SPAC10F6.01c	2
SPAC10F6.02c	2
SPAC10F6.03c	7
SPAC10F6.04	7
SPAC10F6.05c	7
SPAC10F6.06	10
SPAC10F6.07c	8
SPAC10F6.08c	2
SPAC10F6.09c	2
SPAC10F6.10	7
SPAC10F6.11c	2
SPAC10F6.12c	2
SPAC10F6.13c	7
SPAC10F6.14c	10
SPAC10F6.15	12
SPAC10F6.16	2
SPAC10F6.17c	7
SPAC56E4.02c	7
SPAC56E4.03	7
SPAC56E4.04c	2
SPAC56E4.05	7
SPAC56E4.06c	2
SPAC56E4.07	10
SPAC1420.01c	7
SPAC1420.02c	2
SPAC1420.03	2
SPAC1420.04c	7
SPAPB17E12.02	2
SPAPB17E12.03	7
SPAPB17E12.04c	2
SPAPB17E12.05	7
SPAPB17E12.06	2
SPAPB17E12.07c	7
SPAPB17E12.08	7
SPAPB17E12.09	10
SPAPB17E12.10c	7
SPAPB17E12.11	7
SPAPB17E12.12c	7
SPAPB17E12.13	7
SPAPB17E12.14c	7
SPAC1565.01	2
SPAC1565.02c	2
SPAC1565.03	12
SPAC1565.04c	2
SPAC1565.05	7
SPAC1565.06c	2
SPAC1565.07c	7
SPAC1565.08	2
SPAC6F12.02	2
SPAC6F12.03c	2
SPAC6F12.04	7
SPAC6F12.05c	2
SPAC6F12.06	7
SPAC6F12.07	7
SPAC6F12.08c	7
SPAC6F12.09	2
SPAC6F12.10c	2
SPAC6F12.11c	2
SPAC6F12.12	2
SPAC6F12.13c	2
SPAC6F12.14	2
SPAC6F12.15c	2
SPAC6F12.16c	2
SPAC6F12.17	2
SPAC19E9.01c	2
SPAC19E9.02	2
SPAC19E9.03	2
SPAC57A10.02	2
SPAC57A10.03	2
SPAC57A10.04	7
SPAC57A10.14	2
SPAC57A10.05c	2
SPAC57A10.06	12
SPAC57A10.07	10
SPAC57A10.08c	7
SPAC57A10.09c	7
SPAC57A10.10c	2
SPAC57A10.11c	7
SPAC57A10.12c	2
SPAC20G8.01	2
SPAC20G8.02	7
SPAC20G8.03	2
SPAC20G8.04c	7
SPAC20G8.05c	2
SPAC20G8.06	2
SPAC20G8.07c	2
SPAC20G8.08c	7
SPAC20G8.09c	2
SPAC20G8.10c	2
SPAC3A12.02	10
SPAC3A12.03c	10
SPAC3A12.04c	2
SPAC3A12.05c	7
SPAC3A12.06c	7
SPAC3A12.19	7
SPAC3A12.07	2
SPAC3A12.08	7
SPAC3A12.09c	2
SPAC3A12.10	7
SPAC3A12.11c	2
SPAC3A12.12	7
SPAC3A12.13c	2
SPAC3A12.14	2
SPAC3A12.15	7
SPAC3A12.16c	7
SPAC3A12.17c	2
SPAC3A12.18	2
SPAC9.02c	10
SPAC9.03c	2
SPAC9.04	4
SPAC9.05	2
SPAC9.06c	7
SPAC9.07c	7
SPAC9.08c	7
SPAC9.09	2
SPAC9.10	2
SPAC9.11	12
SPAC9.12c	7
SPAC9.13c	2
SPAC5D6.13	2
SPAC5D6.12	2
SPAC5D6.10c	8
SPAC5D6.09c	7
SPAC5D6.08c	2
SPAC5D6.07c	2
SPAC5D6.06c	7
SPAC5D6.05	2
SPAC5D6.04	7
SPAC5D6.02c	2
SPAC5D6.01	7
SPAC57A7.13	2
SPAC57A7.12	7
SPAC57A7.11	2
SPAC57A7.10c	7
SPAC57A7.09	10
SPAC57A7.08	2
SPAC57A7.07c	7
SPAC57A7.06	7
SPAC57A7.05	7
SPAC57A7.04c	2
SPAC57A7.15c	12
SPAC167.07c	7
SPAC167.06c	12
SPAC167.05	10
SPAC167.04	7
SPAC167.03c	2
SPAC167.02	2
SPAC167.09	7
SPAC167.01	2
SPAC167.08	4
SPAC1705.02	10
SPAC1705.03c	2
SPAC23H4.18c	2
SPAC23H4.17c	2
SPAC23H4.16c	7
SPAC23H4.15	7
SPAC23H4.14	2
SPAC23H4.21	10
SPAC23H4.13c	12
SPAC23H4.12	2
SPAC23H4.11c	2
SPAC23H4.10c	2
SPAC23H4.09	10
SPAC23H4.08	7
SPAC23H4.07c	7
SPAC23H4.06	2
SPAC23H4.05c	8
SPAC23H4.04	7
SPAC23H4.03c	7
SPAC23H4.02	10
SPAC23H4.01c	2
SPAP27G11.02	7
SPAP27G11.03	2
SPAP27G11.04c	2
SPAP27G11.05c	7
SPAP27G11.06c	2
SPAP27G11.07c	7
SPAP27G11.08c	12
SPAP27G11.09c	7
SPAP27G11.10c	2
SPAP27G11.11c	6
SPAP27G11.16	6
SPAP27G11.12	10
SPAP27G11.13c	7
SPAP27G11.14c	8
SPAP27G11.15	2
SPAC343.01c	7
SPAC343.02	7
SPAC343.03	2
SPAC343.04c	7
SPAC343.05	2
SPAC343.06c	7
SPAC343.07	10
SPAC343.08c	7
SPAC343.09	2
SPAC343.10	2
SPAC343.11c	2
SPAC343.21	6
SPAC343.12	10
SPAC343.20	6
SPAC343.13	7
SPAC343.14c	2
SPAC343.15	2
SPAC343.16	2
SPAC343.17c	2
SPAC343.18	2
SPAC343.19	7
SPAC824.02	7
SPAC824.03c	10
SPAC824.04	2
SPAC824.05	7
SPAC824.06	7
SPAC824.07	7
SPAC824.08	2
SPAC824.09c	7
SPAC664.01c	2
SPAC664.02c	2
SPAC664.03	2
SPAC664.04c	7
SPAC664.05	7
SPAC664.06	7
SPAC664.07c	2
SPAC664.08c	7
SPAC664.09	2
SPAC664.10	2
SPAC664.11	2
SPAC664.12c	7
SPAC664.13	8
SPAC664.14	2
SPAC664.15	7
SPACUNK12.02c	2
SPAC105.01c	7
SPAC105.02c	2
SPAC105.03c	7
SPAC17A5.01	7
SPAC17A5.18c	2
SPAC17A5.02c	2
SPAC17A5.03	2
SPAC17A5.04c	2
SPAC17A5.05c	10
SPAC17A5.19	12
SPAC17A5.06	2
SPAC17A5.07c	2
SPAC17A5.08	7
SPAC17A5.09c	7
SPAC17A5.10	10
SPAC17A5.11	2
SPAC17A5.12	2
SPAC17A5.13	7
SPAC17A5.14	2
SPAC17A5.15c	2
SPAC17A5.16	10
SPAC1610.01	2
SPAC1610.02c	7
SPAC1610.03c	2
SPAC1610.04	10
SPAC1002.01	7
SPAC1002.02	2
SPAC1002.03c	2
SPAC1002.04c	7
SPAC1002.05c	2
SPAC1002.06c	2
SPAC1002.07c	7
SPAC1002.08c	2
SPAC1002.09c	2
SPAC1002.10c	2
SPAC1002.11	7
SPAC1002.12c	7
SPAC1002.13c	2
SPAC1002.20	6
SPAC1002.14	7
SPAC1002.15c	2
SPAC1002.16c	7
SPAC1002.17c	7
SPAC1002.18	10
SPAC1002.19	7
SPAC1399.05c	2
SPAC1399.04c	2
SPAC1399.03	2
SPAC1399.02	7
SPAC1399.06	6
SPAC1399.01c	7
SPAP11E10.01	10
SPAP11E10.02c	2
SPAPB1A10.02	2
SPAPB1A10.03	2
SPAPB1A10.16	10
SPAPB1A10.04c	2
SPAPB1A10.05	12
SPAPB1A10.06c	7
SPAPB1A10.07c	7
SPAPB1A10.08	10
SPAPB1A10.09	2
SPAPB1A10.10c	2
SPAPB1A10.11c	2
SPAPB1A10.12c	7
SPAPB1A10.13	12
SPAPB1A10.14	7
SPAPB1A10.15	7
SPAC140.01	7
SPAC140.02	2
SPAC140.03	2
SPAC140.04	2
SPAC110.06	6
SPAC110.01	10
SPAC110.02	2
SPAC110.03	2
SPAC110.04c	2
SPAP14E8.02	2
SPAP14E8.03	7
SPAP14E8.04	7
SPAP14E8.05c	7
SPAC3H1.01c	2
SPAC3H1.02c	7
SPAC3H1.03	7
SPAC3H1.04c	10
SPAC3H1.05	7
SPAC3H1.06c	7
SPAC3H1.07	2
SPAC3H1.08c	7
SPAC3H1.09c	2
SPAC3H1.10	2
SPAC3H1.11	2
SPAC3H1.12c	2
SPAC3H1.13	7
SPAC3H1.14	7
SPAC9G1.14	6
SPAC9G1.02	2
SPAC9G1.03c	7
SPAC9G1.04	2
SPAC9G1.05	2
SPAC9G1.06c	2
SPAC9G1.07	12
SPAC9G1.08c	7
SPAC9G1.15c	2
SPAC9G1.09	2
SPAC9G1.10c	7
SPAC9G1.11c	2
SPAC9G1.12	2
SPAC9G1.13c	2
SPAC767.01c	2
SPAC17H9.01	2
SPAC17H9.02	2
SPAC17H9.03c	2
SPAC17H9.04c	2
SPAC17H9.05	2
SPAC17H9.06c	10
SPAC17H9.07	7
SPAC17H9.08	7
SPAC17H9.09c	2
SPAC17H9.10c	2
SPAC17H9.11	2
SPAC17H9.12c	7
SPAC17H9.13c	2
SPAC17H9.14c	2
SPAC17H9.16	7
SPAC17H9.17c	7
SPAC17H9.18c	8
SPAC17H9.19c	2
SPAC17H9.20	2
SPAC607.02c	10
SPAC607.03c	2
SPAC607.04	2
SPAC607.05	2
SPAC607.06c	10
SPAC607.07c	12
SPAC607.08c	7
SPAC607.09c	2
SPAC607.10	2
SPAC732.01	7
SPAC732.02c	7
SPAC3C7.01c	7
SPAC3C7.02c	7
SPAC3C7.03c	2
SPAC3C7.04	7
SPAC3C7.05c	7
SPAC3C7.06c	2
SPAC3C7.07c	2
SPAC3C7.08c	2
SPAC3C7.09	10
SPAC3C7.10	7
SPAC3C7.11c	2
SPAC3C7.12	2
SPAC3C7.13c	7
SPAC3C7.14c	10
SPAC25A8.03c	10
SPAC25A8.01c	2
SPAC25A8.02	2
SPAC631.01c	2
SPAC631.02	2
SPAC20H4.01	7
SPAC20H4.02	2
SPAC20H4.03c	2
SPAC20H4.04	7
SPAC20H4.05c	7
SPAC20H4.06c	2
SPAC20H4.07	2
SPAC20H4.08	7
SPAC20H4.09	2
SPAC20H4.10	7
SPAC20H4.11c	2
SPAC23C11.01	7
SPAC23C11.02c	7
SPAC23C11.03	7
SPAC23C11.04c	2
SPAC23C11.05	7
SPAC23C11.06c	10
SPAC23C11.07	8
SPAC23C11.08	2
SPAC23C11.09	7
SPAC23C11.10	2
SPAC23C11.11	2
SPAC23C11.12	2
SPAC23C11.13c	2
SPAC23C11.14	2
SPAC23C11.15	2
SPAC23C11.16	2
SPAC23C11.17	7
SPAC13F5.01c	7
SPAC13F5.02c	2
SPAC13F5.03c	2
SPAC13F5.04c	7
SPAC13F5.05	7
SPAC13F5.06c	2
SPAC13F5.07c	10
SPAC1783.01	7
SPAC1783.02c	7
SPAC1783.03	2
SPAC1783.04c	2
SPAC1783.05	2
SPAC1783.06c	2
SPAC1783.07c	2
SPAC1783.08c	7
SPAC1327.01c	7
SPAC18G6.01c	10
SPAC18G6.02c	2
SPAC18G6.03	2
SPAC18G6.04c	7
SPAC18G6.05c	2
SPAC18G6.06	7
SPAC18G6.07c	2
SPAC18G6.09c	2
SPAC18G6.10	2
SPAC18G6.11c	2
SPAC18G6.12c	10
SPAC18G6.13	12
SPAC18G6.14c	7
SPAC18G6.15	2
SPAC13D6.01	2
SPAC13D6.02c	7
SPAC13D6.03c	7
SPAC13D6.04c	2
SPAC13D6.05	2
SPAC4G9.02	2
SPAC4G9.03	2
SPAC4G9.04c	2
SPAC4G9.05	7
SPAC4G9.06c	7
SPAC4G9.07	12
SPAC4G9.08c	2
SPAC4G9.09c	2
SPAC4G9.10	2
SPAC4G9.11c	2
SPAC4G9.12	2
SPAC4G9.13c	2
SPAC4G9.14	10
SPAC4G9.15	7
SPAC4G9.16c	2
SPAC4G9.17c	7
SPAC4G9.19	7
SPAC4G9.20c	7
SPAC4G9.22	8
SPAC13G7.01c	2
SPAC13G7.02c	2
SPAC13G7.03	7
SPAC13G7.04c	7
SPAC13G7.05	2
SPAC13G7.06	2
SPAC13G7.07	2
SPAC13G7.08c	2
SPAC13G7.09c	10
SPAC13G7.10	2
SPAC13G7.11	7
SPAC13G7.12c	7
SPAC13G7.13c	2
SPAC6C3.02c	7
SPAC6C3.03c	8
SPAC6C3.04	2
SPAC6C3.05	12
SPAC6C3.06c	7
SPAC6C3.07	12
SPAC6C3.08	2
SPAC6C3.09	2
SPAC17G8.01c	7
SPAC17G8.02	7
SPAC17G8.03c	2
SPAC17G8.15	7
SPAC17G8.04c	2
SPAC17G8.05	2
SPAC17G8.06c	2
SPAC17G8.07	2
SPAC17G8.08c	7
SPAC17G8.09	2
SPAC17G8.10c	2
SPAC17G8.11c	2
SPAC17G8.12	2
SPAC17G8.13c	2
SPAC17G8.14c	2
SPAC22H10.02	10
SPAC22H10.03c	2
SPAC22H10.04	2
SPAC22H10.05c	7
SPAC22H10.06c	6
SPAC22H10.13	2
SPAC22H10.07	2
SPAC22H10.08	10
SPAC22H10.09	2
SPAC22H10.10	2
SPAC22H10.11c	7
SPAC22H10.12c	7
SPAC15F9.01c	7
SPAC15F9.02	2
SPAC15F9.03c	2
SPAC1B9.02c	2
SPAC1B9.03c	7
SPAC6B12.02c	2
SPAC6B12.03c	7
